,song_name,song_id,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1402,You Can't Hurry Love,1jfZrGr1j7YRC5qQDdIeGz,Elena Ultrasa,0.753,0.794,7,-3.934,0,0.0364,0.00996,0.0,0.0751,0.747,94.949,audio_features,1jfZrGr1j7YRC5qQDdIeGz,spotify:track:1jfZrGr1j7YRC5qQDdIeGz,https://api.spotify.com/v1/tracks/1jfZrGr1j7YRC5qQDdIeGz,https://api.spotify.com/v1/audio-analysis/1jfZrGr1j7YRC5qQDdIeGz,170620,4
1403,Don't Bring Me Down,7rjMG5Lm94fEdQ9XxD5WLg,Electric Light Orchestra,0.637,0.858,2,-6.917,1,0.0338,0.133,0.000557,0.0652,0.798,115.696,audio_features,7rjMG5Lm94fEdQ9XxD5WLg,spotify:track:7rjMG5Lm94fEdQ9XxD5WLg,https://api.spotify.com/v1/tracks/7rjMG5Lm94fEdQ9XxD5WLg,https://api.spotify.com/v1/audio-analysis/7rjMG5Lm94fEdQ9XxD5WLg,243867,4
1404,You Can Get It If You Really Want,4hxG18nsHZKuZXZaz4V4VW,Desmond Dekker,0.789,0.502,1,-11.189,1,0.0378,0.0251,0.0,0.0483,0.86,128.082,audio_features,4hxG18nsHZKuZXZaz4V4VW,spotify:track:4hxG18nsHZKuZXZaz4V4VW,https://api.spotify.com/v1/tracks/4hxG18nsHZKuZXZaz4V4VW,https://api.spotify.com/v1/audio-analysis/4hxG18nsHZKuZXZaz4V4VW,159627,4
1405,Going Up The Country,57460SJgSpCXaRJ9YIYHxy,Canned Heat,0.653,0.239,5,-18.54,0,0.0453,0.806,0.0146,0.132,0.765,80.392,audio_features,57460SJgSpCXaRJ9YIYHxy,spotify:track:57460SJgSpCXaRJ9YIYHxy,https://api.spotify.com/v1/tracks/57460SJgSpCXaRJ9YIYHxy,https://api.spotify.com/v1/audio-analysis/57460SJgSpCXaRJ9YIYHxy,171373,4
1406,Darlin',30Lg2e376WqLQaQDZWC7mi,Frankie Miller,0.762,0.454,9,-12.409,1,0.0302,0.336,0.0,0.0483,0.77,120.79,audio_features,30Lg2e376WqLQaQDZWC7mi,spotify:track:30Lg2e376WqLQaQDZWC7mi,https://api.spotify.com/v1/tracks/30Lg2e376WqLQaQDZWC7mi,https://api.spotify.com/v1/audio-analysis/30Lg2e376WqLQaQDZWC7mi,188600,4
1407,Wuthering Heights,5YSI1311X8t31PBjkBG4CZ,Kate Bush,0.481,0.392,1,-11.381,1,0.0312,0.366,0.0452,0.124,0.52,124.572,audio_features,5YSI1311X8t31PBjkBG4CZ,spotify:track:5YSI1311X8t31PBjkBG4CZ,https://api.spotify.com/v1/tracks/5YSI1311X8t31PBjkBG4CZ,https://api.spotify.com/v1/audio-analysis/5YSI1311X8t31PBjkBG4CZ,269067,4
1408,Bright Eyes,4iblzTd0Kk5n9sQNBrR1MC,Art Garfunkel,0.356,0.155,7,-18.83,1,0.0324,0.79,0.155,0.0829,0.195,113.45,audio_features,4iblzTd0Kk5n9sQNBrR1MC,spotify:track:4iblzTd0Kk5n9sQNBrR1MC,https://api.spotify.com/v1/tracks/4iblzTd0Kk5n9sQNBrR1MC,https://api.spotify.com/v1/audio-analysis/4iblzTd0Kk5n9sQNBrR1MC,235560,4
1409,I Don't Want to Talk About It - 2008 Remaster,2JWKzkQbYsNzx019WyGzaH,Rod Stewart,0.472,0.373,3,-12.98,1,0.0262,0.872,0.206,0.147,0.459,135.193,audio_features,2JWKzkQbYsNzx019WyGzaH,spotify:track:2JWKzkQbYsNzx019WyGzaH,https://api.spotify.com/v1/tracks/2JWKzkQbYsNzx019WyGzaH,https://api.spotify.com/v1/audio-analysis/2JWKzkQbYsNzx019WyGzaH,288267,4
1410,I Don't Like Cricket - I Love It (Dreadlock Holiday) (Live Version),0UoHcljfQxt61p77GDqFYv,10cc,0.678,0.729,7,-10.467,0,0.0288,0.368,3.97e-05,0.0721,0.844,100.103,audio_features,0UoHcljfQxt61p77GDqFYv,spotify:track:0UoHcljfQxt61p77GDqFYv,https://api.spotify.com/v1/tracks/0UoHcljfQxt61p77GDqFYv,https://api.spotify.com/v1/audio-analysis/0UoHcljfQxt61p77GDqFYv,308013,4
1411,Ride Like the Wind,7gUMShP1l20tC0xf17Zplk,Christopher Cross,0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,audio_features,7gUMShP1l20tC0xf17Zplk,spotify:track:7gUMShP1l20tC0xf17Zplk,https://api.spotify.com/v1/tracks/7gUMShP1l20tC0xf17Zplk,https://api.spotify.com/v1/audio-analysis/7gUMShP1l20tC0xf17Zplk,275507,4
1412,Nutbush City Limits,3OUwBmeak1ssqGhrgHuFag,Ike & Tina Turner,0.756,0.826,7,-10.931,1,0.0289,0.166,0.139,0.0434,0.931,76.118,audio_features,3OUwBmeak1ssqGhrgHuFag,spotify:track:3OUwBmeak1ssqGhrgHuFag,https://api.spotify.com/v1/tracks/3OUwBmeak1ssqGhrgHuFag,https://api.spotify.com/v1/audio-analysis/3OUwBmeak1ssqGhrgHuFag,178933,4
1413,As I Lay Me Down,6S8ZXzeXsfCj8qi9179McI,Sophie B. Hawkins,0.519,0.737,10,-8.7,1,0.0437,0.645,1.77e-06,0.271,0.668,82.999,audio_features,6S8ZXzeXsfCj8qi9179McI,spotify:track:6S8ZXzeXsfCj8qi9179McI,https://api.spotify.com/v1/tracks/6S8ZXzeXsfCj8qi9179McI,https://api.spotify.com/v1/audio-analysis/6S8ZXzeXsfCj8qi9179McI,248893,4
1414,Weekend,1bZr5vH0cfmKu5ODpD0DEO,Earth & Fire,0.866,0.572,9,-11.164,0,0.0374,0.366,0.00036,0.13,0.559,121.751,audio_features,1bZr5vH0cfmKu5ODpD0DEO,spotify:track:1bZr5vH0cfmKu5ODpD0DEO,https://api.spotify.com/v1/tracks/1bZr5vH0cfmKu5ODpD0DEO,https://api.spotify.com/v1/audio-analysis/1bZr5vH0cfmKu5ODpD0DEO,214907,4
1415,Robert De Niro's Waiting,54bwQKQJRVckJGBKuns8MI,Bananarama,0.707,0.753,7,-8.545,1,0.0262,0.182,0.000362,0.299,0.923,130.214,audio_features,54bwQKQJRVckJGBKuns8MI,spotify:track:54bwQKQJRVckJGBKuns8MI,https://api.spotify.com/v1/tracks/54bwQKQJRVckJGBKuns8MI,https://api.spotify.com/v1/audio-analysis/54bwQKQJRVckJGBKuns8MI,223600,4
1416,Who's That Girl? - Remastered Version,6P8kyob4SPq2Z0TBEHzgZy,Eurythmics,0.778,0.504,0,-10.824,0,0.044,0.0669,1.54e-06,0.0752,0.359,119.566,audio_features,6P8kyob4SPq2Z0TBEHzgZy,spotify:track:6P8kyob4SPq2Z0TBEHzgZy,https://api.spotify.com/v1/tracks/6P8kyob4SPq2Z0TBEHzgZy,https://api.spotify.com/v1/audio-analysis/6P8kyob4SPq2Z0TBEHzgZy,286733,4
1417,Dolce Vita - Radio/ReMaster,7sUkziM9Ydla0i8G8WvNiX,Ryan Paris,0.76,0.728,5,-4.06,0,0.112,0.113,0.000609,0.0488,0.943,121.577,audio_features,7sUkziM9Ydla0i8G8WvNiX,spotify:track:7sUkziM9Ydla0i8G8WvNiX,https://api.spotify.com/v1/tracks/7sUkziM9Ydla0i8G8WvNiX,https://api.spotify.com/v1/audio-analysis/7sUkziM9Ydla0i8G8WvNiX,254333,4
1418,Come Back and Stay - 2008 Remastered,1r3YUTAwY0Y7tyV9Xcgps8,Paul Young,0.624,0.803,6,-7.985,0,0.0729,0.116,1.15e-05,0.293,0.8,130.834,audio_features,1r3YUTAwY0Y7tyV9Xcgps8,spotify:track:1r3YUTAwY0Y7tyV9Xcgps8,https://api.spotify.com/v1/tracks/1r3YUTAwY0Y7tyV9Xcgps8,https://api.spotify.com/v1/audio-analysis/1r3YUTAwY0Y7tyV9Xcgps8,264853,4
1419,"Girl, You'll Be A Woman Soon",7Go395rWUIDDf0ufuVPr7Y,Neil Diamond,0.515,0.641,5,-5.573,1,0.0272,0.567,0.0642,0.322,0.655,109.556,audio_features,7Go395rWUIDDf0ufuVPr7Y,spotify:track:7Go395rWUIDDf0ufuVPr7Y,https://api.spotify.com/v1/tracks/7Go395rWUIDDf0ufuVPr7Y,https://api.spotify.com/v1/audio-analysis/7Go395rWUIDDf0ufuVPr7Y,180253,4
1420,The Letter,6RJK553YhstRzyKA4mug09,The Box Tops,0.638,0.428,9,-12.156,0,0.0687,0.252,0.0,0.132,0.901,139.434,audio_features,6RJK553YhstRzyKA4mug09,spotify:track:6RJK553YhstRzyKA4mug09,https://api.spotify.com/v1/tracks/6RJK553YhstRzyKA4mug09,https://api.spotify.com/v1/audio-analysis/6RJK553YhstRzyKA4mug09,112800,4
1421,Jeans On,0uN4g8yIAUpbyjcLhn79t7,David Dundas,0.864,0.549,7,-9.741,1,0.0555,0.781,0.0143,0.0996,0.718,105.045,audio_features,0uN4g8yIAUpbyjcLhn79t7,spotify:track:0uN4g8yIAUpbyjcLhn79t7,https://api.spotify.com/v1/tracks/0uN4g8yIAUpbyjcLhn79t7,https://api.spotify.com/v1/audio-analysis/0uN4g8yIAUpbyjcLhn79t7,199933,4
1422,Nah Neh Nah,1fX0h6SaZBXwmr4haRvirQ,Vaya Con Dios,0.669,0.521,6,-11.89,1,0.0461,0.466,6.59e-06,0.0535,0.837,111.826,audio_features,1fX0h6SaZBXwmr4haRvirQ,spotify:track:1fX0h6SaZBXwmr4haRvirQ,https://api.spotify.com/v1/tracks/1fX0h6SaZBXwmr4haRvirQ,https://api.spotify.com/v1/audio-analysis/1fX0h6SaZBXwmr4haRvirQ,174533,4
1423,We Don't Talk Anymore - 2001 Remaster,3Ug96zKa29P3vICEEcYajZ,Cliff Richard,0.746,0.703,0,-7.853,1,0.0291,0.0014,0.00414,0.066,0.733,111.569,audio_features,3Ug96zKa29P3vICEEcYajZ,spotify:track:3Ug96zKa29P3vICEEcYajZ,https://api.spotify.com/v1/tracks/3Ug96zKa29P3vICEEcYajZ,https://api.spotify.com/v1/audio-analysis/3Ug96zKa29P3vICEEcYajZ,257160,4
